epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
6,167.1,1.38736,1.46438,1.60103,0.74316,0.7032,0.74527,0.32699,1.80932,1.3088,1.70196,0.00139195,0.00139195,0.00139195
7,194.128,1.31693,1.38095,1.5429,0.62864,0.68021,0.60222,0.30581,1.7183,1.55914,1.67847,0.00133693,0.00133693,0.00133693
8,221.203,1.29348,1.29524,1.51499,0.64921,0.64384,0.61728,0.3098,1.72367,1.42623,1.68758,0.00128192,0.00128192,0.00128192
9,248.229,1.23388,1.22101,1.48673,0.72244,0.79909,0.71747,0.43039,1.34345,1.11515,1.56734,0.00122691,0.00122691,0.00122691
10,275.455,1.24035,1.19431,1.4627,0.71801,0.89523,0.79906,0.43467,1.53326,1.00701,1.53945,0.0011719,0.0011719,0.0011719
11,302.809,1.19768,1.1458,1.43545,0.74403,0.82648,0.78039,0.46269,1.4068,0.97693,1.5324,0.00111689,0.00111689,0.00111689
12,330.308,1.19856,1.13143,1.4302,0.78484,0.79948,0.812,0.44335,1.49823,0.97911,1.50358,0.00106188,0.00106188,0.00106188
13,357.529,1.18241,1.10378,1.43802,0.73777,0.80933,0.818,0.49298,1.32296,1.00719,1.40594,0.00100687,0.00100687,0.00100687
14,384.587,1.15488,1.07059,1.41423,0.75236,0.83105,0.795,0.42454,1.57393,1.00825,1.56928,0.000951857,0.000951857,0.000951857
15,411.759,1.1367,1.04739,1.39688,0.76455,0.81551,0.81647,0.49241,1.32916,0.90547,1.40993,0.000896846,0.000896846,0.000896846
16,438.941,1.12555,1.01056,1.37901,0.69805,0.88584,0.77986,0.51279,1.26149,0.92008,1.41522,0.000841835,0.000841835,0.000841835
17,466.167,1.08996,1.00443,1.35979,0.75312,0.83562,0.86139,0.53938,1.25136,0.84406,1.45554,0.000786824,0.000786824,0.000786824
18,493.586,1.06287,0.96245,1.34369,0.74058,0.88584,0.79062,0.51977,1.18715,0.86256,1.40539,0.000731813,0.000731813,0.000731813
19,520.818,1.04676,0.93477,1.32201,0.73977,0.82192,0.81179,0.54591,1.19589,0.87299,1.36151,0.000676802,0.000676802,0.000676802
20,548.192,1.04777,0.92232,1.32602,0.78367,0.86015,0.85656,0.561,1.19402,0.80493,1.37823,0.000621791,0.000621791,0.000621791
21,588.458,0.89267,0.75984,1.2024,0.75863,0.86112,0.83116,0.55669,1.16299,0.8206,1.33522,0.00056678,0.00056678,0.00056678
22,615.193,0.89107,0.72511,1.20179,0.79648,0.85778,0.82159,0.54332,1.16149,0.76673,1.31408,0.000511769,0.000511769,0.000511769
23,642.059,0.84267,0.68775,1.17056,0.7538,0.86758,0.80559,0.54836,1.13225,0.79701,1.31036,0.000456758,0.000456758,0.000456758
24,668.961,0.83096,0.66791,1.15757,0.76145,0.87215,0.85064,0.54702,1.25058,0.81827,1.34123,0.000401747,0.000401747,0.000401747
25,695.94,0.79692,0.63544,1.14044,0.78037,0.84367,0.86325,0.59795,1.04966,0.74656,1.26217,0.000346736,0.000346736,0.000346736
26,722.948,0.80897,0.62151,1.13967,0.78852,0.88534,0.83093,0.58544,1.02957,0.75022,1.25346,0.000291725,0.000291725,0.000291725
27,749.787,0.79529,0.61134,1.13093,0.7702,0.88128,0.83784,0.58725,1.07785,0.74844,1.28581,0.000236714,0.000236714,0.000236714
28,776.823,0.78107,0.60319,1.12871,0.77507,0.88584,0.85167,0.60416,1.02783,0.72041,1.27506,0.000181703,0.000181703,0.000181703
29,803.916,0.76102,0.5815,1.11566,0.77972,0.89954,0.85908,0.61601,1.00281,0.72158,1.25753,0.000126692,0.000126692,0.000126692
30,830.983,0.74822,0.58664,1.10856,0.80065,0.86301,0.85854,0.60799,1.03426,0.71419,1.2637,7.1681e-05,7.1681e-05,7.1681e-05
